cell,F,d_eff_nominal,N,s,geometry,monitor_angle_deg,superposed,load,coherence,welch_floor,coherence_gap,rho_rd,d_eff_meas,f_eff_meas,gamma_r_mean,log_alignment_mean,delta_read_median,delta_read_mean,delta_input_median,infeasible_frac
97,128,8,8,0.1,random,30.0,True,16.0,0.9601626132080989,0.34367169831173533,0.6164909148963635,16.714892349253052,7.657841721350961,128,0.37300143047146517,0.15760821708540856,0.6465717299858118,0.6893564818462735,0.6465717299858118,0.0
98,128,8,8,0.1,random,45.0,True,16.0,0.9600182081748161,0.34367169831173533,0.6163465098630807,17.084257380848676,7.492277665137908,128,0.48904084214301224,0.30687786314020904,0.5113242897834397,0.5456458742628796,0.5113242897834397,0.0
99,128,16,16,0.02,random,15.0,True,8.0,0.8097756788051126,0.23477246481693817,0.5750032139881744,9.047660938034001,14.147302919135868,128,0.21853948246453267,0.04968729003367277,1.490642328098804,1.5373402050740528,1.490642328098804,0.0
100,128,16,16,0.02,random,30.0,True,8.0,0.8186324780538443,0.23477246481693817,0.5838600132369062,9.020591250059315,14.189757240043255,128,0.4244432437235969,0.2028687626636164,0.786121631710176,0.8024195730000472,0.786121631710176,0.0
101,128,16,16,0.02,random,45.0,True,8.0,0.837981538424576,0.23477246481693817,0.6032090736076379,8.967681624056539,14.273477289451217,128,0.6036492668404623,0.4620313462546018,0.5430600274500346,0.5546718511600446,0.5430600274500346,0.0
102,128,16,16,0.05,random,15.0,True,8.0,0.8013849542120212,0.23477246481693817,0.566612489395083,8.983259242615093,14.248726051764065,128,0.21704234005344167,0.049111917177887175,1.5397130896105211,1.5614967515888618,1.5397130896105211,0.0
103,128,16,16,0.05,random,30.0,True,8.0,0.8356179349347473,0.23477246481693817,0.6008454701178092,8.959328777541756,14.28678455475996,128,0.41565377837431594,0.1941746165906623,0.7850079391615438,0.8159574444808564,0.7850079391615438,0.0
104,128,16,16,0.05,random,45.0,True,8.0,0.7902003988390148,0.23477246481693817,0.5554279340220767,8.92899117862082,14.33532606757161,128,0.6203148929316784,0.5010383260897177,0.5499675071749257,0.5604305732740932,0.5499675071749257,0.0
105,128,16,16,0.1,random,15.0,True,8.0,0.8000709354347715,0.23477246481693817,0.5652984706178333,9.06946279941196,14.113294561205894,128,0.21465944819712984,0.04813151606988926,1.5835043886279536,1.608722684023406,1.5835043886279536,0.0
106,128,16,16,0.1,random,30.0,True,8.0,0.7653179679740258,0.23477246481693817,0.5305455031570877,8.980449474800947,14.253184137293655,128,0.41180116972291525,0.18996119075952966,0.7900161109171299,0.8281561864317755,0.7900161109171299,0.0
107,128,16,16,0.1,random,45.0,True,8.0,0.8028694513972684,0.23477246481693817,0.5680969865803303,8.976379922366775,14.259645993933223,128,0.6133182529156387,0.4824118434151446,0.5396038967943957,0.555485714899016,0.5396038967943957,0.0
108,128,32,32,0.02,random,15.0,True,4.0,0.6300114814174553,0.15369465587356798,0.4763168255438873,5.011331437282115,25.542114226917015,128,0.22070536754334014,0.05032853843454364,2.0932237717976534,2.096668684454903,2.0932237717976534,0.0
